"starting_lang","lang_switch","cs","word_order","condition","mlwo","mlwo_condition","cwh","cwh_condition","sentence_id","sentence","total_surprisal","word_no","word","tokenized_word","word_surprisal"
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",18,"A grandfather sings a Dutch melodía en su jardín.",73.33750251,2," grandfather"," grandfather",11.971419
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",18,"A grandfather sings a Dutch melodía en su jardín.",73.33750251,3," sings"," sings",10.72667
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",18,"A grandfather sings a Dutch melodía en su jardín.",73.33750251,4," a"," a",1.0413508
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",18,"A grandfather sings a Dutch melodía en su jardín.",73.33750251,5," Dutch"," Dutch",9.746874
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",18,"A grandfather sings a Dutch melodía en su jardín.",73.33750251,6," melodía"," mel_od_ía",24.84202447
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",18,"A grandfather sings a Dutch melodía en su jardín.",73.33750251,7," en"," en",8.136215
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",18,"A grandfather sings a Dutch melodía en su jardín.",73.33750251,8," su"," su",2.551196
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",18,"A grandfather sings a Dutch melodía en su jardín.",73.33750251,9," jardín"," j_ard_ín_.",4.321753241
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",43,"A salesman swallows a white pastilla en la calle.",71.61596893,2," salesman"," salesman",11.221295
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",43,"A salesman swallows a white pastilla en la calle.",71.61596893,3," swallows"," swall_ows",12.97572731
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",43,"A salesman swallows a white pastilla en la calle.",71.61596893,4," a"," a",0.22988114
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",43,"A salesman swallows a white pastilla en la calle.",71.61596893,5," white"," white",9.717558
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",43,"A salesman swallows a white pastilla en la calle.",71.61596893,6," pastilla"," past_illa",16.976111
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",43,"A salesman swallows a white pastilla en la calle.",71.61596893,7," en"," en",11.490902
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",43,"A salesman swallows a white pastilla en la calle.",71.61596893,8," la"," la",3.6129138
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",43,"A salesman swallows a white pastilla en la calle.",71.61596893,9," calle"," cal_le_.",5.391580679
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",47,"A runner chugs the Swiss agua en la pista.",67.35320123,2," runner"," runner",10.796345
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",47,"A runner chugs the Swiss agua en la pista.",67.35320123,3," chugs"," ch_ugs",11.322787
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",47,"A runner chugs the Swiss agua en la pista.",67.35320123,4," the"," the",5.197759
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",47,"A runner chugs the Swiss agua en la pista.",67.35320123,5," Swiss"," Swiss",12.061006
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",47,"A runner chugs the Swiss agua en la pista.",67.35320123,6," agua"," ag_ua",13.8877432
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",47,"A runner chugs the Swiss agua en la pista.",67.35320123,7," en"," en",6.763035
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",47,"A runner chugs the Swiss agua en la pista.",67.35320123,8," la"," la",1.5550909
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",47,"A runner chugs the Swiss agua en la pista.",67.35320123,9," pista"," pist_a_.",5.769435127
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",51,"A guest dances a German vals en la fiesta.",67.99390703,2," guest"," guest",9.634474
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",51,"A guest dances a German vals en la fiesta.",67.99390703,3," dances"," dances",11.152196
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",51,"A guest dances a German vals en la fiesta.",67.99390703,4," a"," a",3.9238284
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",51,"A guest dances a German vals en la fiesta.",67.99390703,5," German"," German",8.587799
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",51,"A guest dances a German vals en la fiesta.",67.99390703,6," vals"," v_als",12.6665812
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",51,"A guest dances a German vals en la fiesta.",67.99390703,7," en"," en",12.852907
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",51,"A guest dances a German vals en la fiesta.",67.99390703,8," la"," la",2.4943712
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",51,"A guest dances a German vals en la fiesta.",67.99390703,9," fiesta"," f_iesta_.",6.681750225
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",55,"A cousin pours the green tinte sobre la cobija.",84.20543773,2," cousin"," cousin",10.580125
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",55,"A cousin pours the green tinte sobre la cobija.",84.20543773,3," pours"," p_ours",15.0841599
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",55,"A cousin pours the green tinte sobre la cobija.",84.20543773,4," the"," the",3.1219156
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",55,"A cousin pours the green tinte sobre la cobija.",84.20543773,5," green"," green",6.6504207
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",55,"A cousin pours the green tinte sobre la cobija.",84.20543773,6," tinte"," tint_e",16.8699874
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",55,"A cousin pours the green tinte sobre la cobija.",84.20543773,7," sobre"," so_bre",19.294369
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",55,"A cousin pours the green tinte sobre la cobija.",84.20543773,8," la"," la",1.8401423
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",55,"A cousin pours the green tinte sobre la cobija.",84.20543773,9," cobija"," cob_ija_.",10.76431784
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",59,"A child reads a red revista durante la clase.",66.31099793,2," child"," child",8.635682
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",59,"A child reads a red revista durante la clase.",66.31099793,3," reads"," reads",8.211871
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",59,"A child reads a red revista durante la clase.",66.31099793,4," a"," a",0.8302321
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",59,"A child reads a red revista durante la clase.",66.31099793,5," red"," red",9.770315
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",59,"A child reads a red revista durante la clase.",66.31099793,6," revista"," rev_ista",23.046385
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",59,"A child reads a red revista durante la clase.",66.31099793,7," durante"," dur_ante",12.84314083
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",59,"A child reads a red revista durante la clase.",66.31099793,8," la"," la",1.4675847
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",59,"A child reads a red revista durante la clase.",66.31099793,9," clase"," cl_ase_.",1.5057873
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",80,"The raccoon consumes a white pez en el arroyo.",82.51484266,2," raccoon"," rac_coon",11.8320362
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",80,"The raccoon consumes a white pez en el arroyo.",82.51484266,3," consumes"," consumes",11.847925
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",80,"The raccoon consumes a white pez en el arroyo.",82.51484266,4," a"," a",1.760278
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",80,"The raccoon consumes a white pez en el arroyo.",82.51484266,5," white"," white",9.180502
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",80,"The raccoon consumes a white pez en el arroyo.",82.51484266,6," pez"," pe_z",19.5038045
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",80,"The raccoon consumes a white pez en el arroyo.",82.51484266,7," en"," en",15.121235
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",80,"The raccoon consumes a white pez en el arroyo.",82.51484266,8," el"," el",6.73787
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",80,"The raccoon consumes a white pez en el arroyo.",82.51484266,9," arroyo"," ar_roy_o_.",6.531191964
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",84,"Mrs. Torres sips the green jugo en el salón.",66.0405547,1,"",".",0.22457455
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",84,"Mrs. Torres sips the green jugo en el salón.",66.0405547,2," Torres"," Torres",10.177789
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",84,"Mrs. Torres sips the green jugo en el salón.",66.0405547,3," sips"," s_ips",13.2976606
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",84,"Mrs. Torres sips the green jugo en el salón.",66.0405547,4," the"," the",4.390275
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",84,"Mrs. Torres sips the green jugo en el salón.",66.0405547,5," green"," green",5.952778
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",84,"Mrs. Torres sips the green jugo en el salón.",66.0405547,6," jugo"," jug_o",16.7108144
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",84,"Mrs. Torres sips the green jugo en el salón.",66.0405547,7," en"," en",8.058671
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",84,"Mrs. Torres sips the green jugo en el salón.",66.0405547,8," el"," el",2.1895416
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",84,"Mrs. Torres sips the green jugo en el salón.",66.0405547,9," salón"," sal_ón_.",5.038450548
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",88,"Mr. Ortiz writes the Dutch libro en la biblioteca.",74.32497991,1,"",".",0.40554893
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",88,"Mr. Ortiz writes the Dutch libro en la biblioteca.",74.32497991,2," Ortiz"," Ortiz",9.848653
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",88,"Mr. Ortiz writes the Dutch libro en la biblioteca.",74.32497991,3," writes"," writes",9.33918
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",88,"Mr. Ortiz writes the Dutch libro en la biblioteca.",74.32497991,4," the"," the",4.0216255
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",88,"Mr. Ortiz writes the Dutch libro en la biblioteca.",74.32497991,5," Dutch"," Dutch",14.007441
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",88,"Mr. Ortiz writes the Dutch libro en la biblioteca.",74.32497991,6," libro"," lib_ro",20.636633
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",88,"Mr. Ortiz writes the Dutch libro en la biblioteca.",74.32497991,7," en"," en",7.097183
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",88,"Mr. Ortiz writes the Dutch libro en la biblioteca.",74.32497991,8," la"," la",4.618812
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",88,"Mr. Ortiz writes the Dutch libro en la biblioteca.",74.32497991,9," biblioteca"," b_ibli_ot_eca_.",4.34990348
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",92,"Mr. Smith devours the German cena en su escritorio.",72.83639088,1,"",".",0.40539163
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",92,"Mr. Smith devours the German cena en su escritorio.",72.83639088,2," Smith"," Smith",4.381565
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",92,"Mr. Smith devours the German cena en su escritorio.",72.83639088,3," devours"," dev_ours",15.8244296
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",92,"Mr. Smith devours the German cena en su escritorio.",72.83639088,4," the"," the",1.7071794
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",92,"Mr. Smith devours the German cena en su escritorio.",72.83639088,5," German"," German",9.8851185
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",92,"Mr. Smith devours the German cena en su escritorio.",72.83639088,6," cena"," c_ena",19.725631
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",92,"Mr. Smith devours the German cena en su escritorio.",72.83639088,7," en"," en",10.491371
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",92,"Mr. Smith devours the German cena en su escritorio.",72.83639088,8," su"," su",2.1386323
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",92,"Mr. Smith devours the German cena en su escritorio.",72.83639088,9," escritorio"," esc_rit_orio_.",8.277072448
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",96,"The husband spills a yellow sopa en la encimera.",71.3926125,2," husband"," husband",9.743292
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",96,"The husband spills a yellow sopa en la encimera.",71.3926125,3," spills"," spills",13.242579
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",96,"The husband spills a yellow sopa en la encimera.",71.3926125,4," a"," a",3.1814575
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",96,"The husband spills a yellow sopa en la encimera.",71.3926125,5," yellow"," yellow",10.455062
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",96,"The husband spills a yellow sopa en la encimera.",71.3926125,6," sopa"," s_opa",16.7971255
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",96,"The husband spills a yellow sopa en la encimera.",71.3926125,7," en"," en",8.810468
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",96,"The husband spills a yellow sopa en la encimera.",71.3926125,8," la"," la",1.1265109
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",96,"The husband spills a yellow sopa en la encimera.",71.3926125,9," encimera"," enc_im_era_.",8.036117603
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",123,"The priest eats the green aguacate en la iglesia.",64.49102534,2," priest"," priest",9.493071
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",123,"The priest eats the green aguacate en la iglesia.",64.49102534,3," eats"," eats",10.192031
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",123,"The priest eats the green aguacate en la iglesia.",64.49102534,4," the"," the",1.6704032
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",123,"The priest eats the green aguacate en la iglesia.",64.49102534,5," green"," green",8.4801445
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",123,"The priest eats the green aguacate en la iglesia.",64.49102534,6," aguacate"," ag_u_ac_ate",16.89570956
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",123,"The priest eats the green aguacate en la iglesia.",64.49102534,7," en"," en",13.299171
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",123,"The priest eats the green aguacate en la iglesia.",64.49102534,8," la"," la",1.0845551
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",123,"The priest eats the green aguacate en la iglesia.",64.49102534,9," iglesia"," ig_les_ia_.",3.375939978
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",127,"The worker chews the green chicle en el edificio.",64.06037222,2," worker"," worker",9.831265
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",127,"The worker chews the green chicle en el edificio.",64.06037222,3," chews"," che_ws",13.533453
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",127,"The worker chews the green chicle en el edificio.",64.06037222,4," the"," the",1.6605166
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",127,"The worker chews the green chicle en el edificio.",64.06037222,5," green"," green",7.0807195
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",127,"The worker chews the green chicle en el edificio.",64.06037222,6," chicle"," ch_icle",7.400996
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",127,"The worker chews the green chicle en el edificio.",64.06037222,7," en"," en",12.090415
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",127,"The worker chews the green chicle en el edificio.",64.06037222,8," el"," el",3.483583
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",127,"The worker chews the green chicle en el edificio.",64.06037222,9," edificio"," ed_ific_io_.",8.979424123
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",131,"The hiker cooks a white pollo en el fuego.",68.96176722,2," hiker"," h_iker",11.5827194
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",131,"The hiker cooks a white pollo en el fuego.",68.96176722,3," cooks"," cooks",11.242449
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",131,"The hiker cooks a white pollo en el fuego.",68.96176722,4," a"," a",1.4958389
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",131,"The hiker cooks a white pollo en el fuego.",68.96176722,5," white"," white",10.420558
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","CWH","CS_CWH",131,"The hiker cooks a white pollo en el fuego.",68.96176722,6," pollo"," poll_o",16.6447984
